stress_level,sleep_hours,daily_steps,water_intake,hrv,age,bmi,synthetic_risk
9,8.789814222435824,14655,3.167915716524522,57,72,34.55295645818276,0.6759185073091016
3,5.344514316941099,10586,0.8372597475831693,71,47,25.539067337194346,0.31325524540972016
9,8.090159975451952,12672,2.472806166812022,20,75,30.547008568935524,0.5955325187111982
1,8.679892903018285,13178,2.565410029725624,92,36,29.8356291143377,0.2532597402450605
8,8.64448433864918,8737,2.0914688788204816,61,26,32.841203690428344,0.7241486547970198
4,6.528001858819746,6192,2.392166022720818,47,40,19.55979746295409,0.38725987503609033
3,9.357022861221674,12555,3.541621119637851,88,57,28.867350316484437,0.2893520268242613
1,7.476696335378426,1854,3.4733099501590416,78,64,34.06549568011878,0.7093397305386484
7,6.672326326507209,7708,2.0410885792227162,88,60,22.887063410743178,0.39958425596591607
1,6.448049111263727,9785,2.8540236279290085,64,43,23.36960122122236,0.15479849824616138
3,9.513924494580586,8381,3.2313627785008032,85,33,19.976358189996766,0.2108463098782378
4,9.816048303306765,1154,1.0835061619189563,40,76,31.799111796872644,0.6963154496366233
3,8.09351688781133,8222,0.8377360501140563,48,71,25.585724891718865,0.3056422403998568
9,8.177582517267066,14544,0.53366543245119,22,69,21.078897834044724,0.27173591254254525
4,4.503096887673553,12778,3.4237099114606244,23,66,28.936243730688947,0.44001568515197875
6,8.865829000614216,5414,3.8811334750629514,73,73,25.703858452923445,0.4678727713297937
6,6.455700474786506,3881,1.7379412376243017,96,74,30.00851123312034,0.7192124236095253
5,7.450927944223067,9746,2.4116637026159724,43,79,18.77087476968143,0.34391530138021664
2,5.792825157269516,1256,0.6368928629730003,76,53,32.67118222736467,0.7501916920481199
5,7.819092342519581,7650,2.167923573504496,83,27,30.093848205517606,0.5620207611640513
8,7.288722513204742,6524,2.7722692293897078,68,21,32.58826376352677,0.8012257995522186
7,9.892694154540498,9425,2.8274075601648665,29,34,33.23401759826233,0.6553454044186976
6,4.629439681065225,1775,1.980581933821517,73,25,21.371795985112534,0.5467033720903716
8,8.912650576199844,1076,1.2691795525641987,60,50,25.00319012244797,0.6186792527539015
6,5.3897960272840475,14838,1.1515118311342059,72,27,21.94991619383494,0.19167682009340103
1,6.38717195963595,8702,3.660675049911505,74,74,29.255773905400837,0.39581951959818934
4,5.273505404779828,6426,1.3939255258155976,53,59,24.498272290266335,0.41402729701081237
8,7.490049949837098,6185,3.749609868591813,23,70,29.66567274436698,0.6986074447480857
6,6.545311689936149,10493,3.848691970442004,60,75,22.800566462811865,0.2959625631776144
8,9.065831522613086,7106,1.0702208356831757,96,28,18.60985242431864,0.4832775855226077
8,5.754892653321894,9424,1.8038966729242782,49,40,33.09383194303435,0.786536650480498
9,9.014135645504469,12563,3.509604176690882,43,49,33.57376841227577,0.6855586487925889
9,6.932191238900027,3388,2.9325977057521526,91,78,21.666525675628815,0.5501388089576056
1,8.71575844352307,6646,2.86994578279898,48,76,23.006056575961225,0.16267631247330777
3,7.380911554547116,14377,0.5277005346575661,71,61,26.55319584479627,0.20918709849064693
4,5.308176880292694,10155,1.1528616201636774,27,50,32.408560910155856,0.6098227605079419
5,9.55693437251223,4369,0.5580177592942652,57,66,25.032341687231504,0.4158319726144042
1,8.608344602056478,5276,2.580284473960662,73,50,25.873772470735013,0.30233724651086485
9,9.298761110867972,10742,2.3044182368582553,60,46,31.963304166620787,0.6643080569315823
1,8.373621068701162,14070,3.7060912627324623,30,20,25.37887539561163,0.07754472249424094
1,9.541825949438678,7286,2.4522782402614314,79,60,25.368618009139787,0.21288994215486773
9,7.843240391565119,11799,2.9646237097553385,52,48,27.14138223423253,0.4991418621301374
5,7.646131982972539,12565,3.8696752771587275,79,62,22.2200496890088,0.16199035880879187
2,8.003798207637956,10989,2.73847329909409,27,38,27.892617288036625,0.2883158683507364
1,6.528729817077263,14015,1.4083189238370413,63,61,24.80548319842643,0.10267366548193901
8,4.653147656285821,6320,2.365433651461621,39,65,19.074928918509542,0.5920550310866132
3,8.536788207453371,12987,2.290194274845126,53,41,18.527419960363673,0.17567226089371019
8,5.866890147406769,11852,1.3460803421584275,75,26,20.258841394414862,0.3861130485895573
7,8.544878533619196,4039,3.6737325437015476,95,72,30.250226062184808,0.7099176456427345
2,8.630670278678927,1333,2.021160603365743,92,34,20.05624660827381,0.3633745868721608
5,7.182205002153277,7019,1.5103891738956237,81,56,27.762480782659274,0.5081485062596546
3,4.096905985391463,13333,1.7021460675992677,53,53,31.147311858861173,0.48032128089235665
7,9.585315374191495,11975,2.2585976260026706,70,75,33.46096482692681,0.6093748822660392
9,7.377553449737954,1177,1.8300794301772858,45,59,24.984150817074276,0.6888974633983657
3,9.20495363762053,13879,1.7393833727672137,87,25,30.779831373739412,0.33035841103757424
3,6.229399794686659,7398,3.0385023339902903,47,43,27.483326173097602,0.43939509426046325
8,9.23297595383316,14894,2.116559384152739,35,24,32.545527565962324,0.5504117790571832
3,9.91669470341723,5965,1.8801065885388155,88,73,18.641523981782715,0.3078885380718784
4,6.476806486687042,14357,1.972731753824786,76,34,19.002424616146598,0.21137842832226558
3,7.089005481147684,6676,2.471991379498827,86,28,31.447937108291324,0.5797888457570453
7,6.087419446099209,12761,0.5431134727049738,83,78,19.76722977637109,0.3403863355800077
2,5.8986744742182635,12519,3.4963018358757694,36,63,31.10525191597622,0.41867462464642025
7,8.97200327228474,12675,1.422379445329103,94,54,21.31313929954995,0.21671284427124185
4,4.807866926260585,1459,2.0126617999272627,42,38,33.40677092134693,0.8682558518092334
7,5.52892845714932,2322,2.50931545836275,33,26,19.347981138246205,0.6213609520822061
8,5.800310336648465,9774,2.6600613630867453,41,34,21.90021482687702,0.3784404936436154
5,8.017416209752113,7310,1.8067781112082717,83,69,28.071339079675685,0.49212761179239656
5,4.958465543259832,7077,0.5215972022070352,25,29,24.70437932484374,0.44963016675579104
3,7.868867875731016,5700,2.0675898182879537,33,52,20.74660396405644,0.2874724018453452
8,7.789258205506779,10108,1.6184265427335247,47,37,26.51389107003878,0.48231546146390253
6,7.917755058399344,2014,1.3868990274715816,57,71,20.854776734878463,0.48020088165805674
6,5.776970068172749,10865,1.9312534098672995,57,22,30.232688744550103,0.5749593769768075
2,4.32949010354517,11806,3.986640186786008,87,56,18.223714377120125,0.28065034466249583
6,6.987679323548078,9601,1.9490046067049613,20,20,23.95033375200674,0.3485085198727246
1,7.269266785413897,3728,1.2887638869286695,46,68,18.81769971222798,0.3470430881313566
3,4.5669178554874055,13330,1.3687360325918463,73,48,30.300940076544514,0.4383535630577234
8,6.597521919606445,9119,2.5371214008539487,23,36,23.280700520305913,0.41781247720884035
1,6.066158705935995,6805,3.4518068682272602,95,20,32.46270384221252,0.5656752282463671
7,5.909490739192368,6738,0.9796918963911292,37,56,28.817577441682882,0.6564460475543032
8,4.243987457106601,6464,3.1286373273893786,49,66,20.95753663914229,0.5302176250370517
3,8.647804300803283,4678,2.903901402796261,83,48,27.689219282780957,0.4541474953832792
9,9.832897540388238,12626,3.102011281132121,79,28,28.80839784943499,0.4915018507866741
7,4.5325881878880185,11922,1.0364929179122466,62,61,34.96955243566366,0.7874522231238873
5,4.955699047572152,7929,1.6644961607517161,36,30,33.492748757932326,0.7476898227730905
3,7.13900963382342,10307,3.5908122761405195,47,42,25.450320071754767,0.27341309777640566
6,4.25998752585169,5288,3.035771453761382,54,63,32.718030129773844,0.836494780674335
1,4.696460583750032,3374,0.8164263044886636,57,73,29.68777251859281,0.5811010671366621
2,9.86791324053339,5205,2.407699531525434,80,59,29.81229702191513,0.45263724171957953
8,6.80308827746585,5826,3.946899903590619,87,38,20.734271663982717,0.4918838104268678
1,5.119517324522226,13328,0.7128928251767312,41,23,18.884352439649273,0.1645765074627613
6,6.022599922515425,7208,1.3031878443559304,81,43,32.05112562324304,0.7233213526856885
4,6.362827154849645,13362,2.8656397695789204,33,76,28.89264924309359,0.3793776735972637
6,4.439693238631048,10788,2.0772170949247184,44,53,28.779762288611966,0.5564688762637559
9,6.591982957094272,6897,3.3327556303359565,70,65,19.194244906119923,0.5631800464894124
4,7.275770459571218,13490,0.9570315905522075,51,61,21.108960363104035,0.13665960669654756
2,7.3415097493279085,2122,2.1600720709035794,43,33,27.7433246662738,0.5131984736524169
6,7.6761151119400735,1781,2.1360566345353913,85,44,21.450641930593214,0.4700710839076988
1,7.758943729382596,8277,2.6933808053905,21,68,30.6319062930887,0.4228244001752266
1,7.666416226886653,12316,1.7498289214436504,88,61,34.01046097525303,0.4499243227448491
8,9.741677011547896,2513,1.523953814608363,36,58,26.00001153921623,0.6000514481614557
8,7.527873455429879,12547,2.611151236402189,75,26,34.86755450041257,0.732513758355903
1,4.738358769715822,9420,1.1989053708829598,95,44,33.66855143028195,0.5782800548132675
8,8.391791375357963,5384,0.7508792430884964,83,71,31.97205763919844,0.7797805129548093
8,5.318404367722314,12973,1.7705708172458596,50,61,27.270762489958425,0.5002271163562269
5,7.5322359132953585,4215,2.7694181284327932,45,55,26.61458199242096,0.5258416897043914
1,4.72772144714282,1519,2.3824460797540388,67,45,34.75273479443401,0.8087830119261699
9,7.771244309795008,7839,1.355840035820097,79,72,21.820748896723693,0.41670329501167164
3,9.155928781930005,13767,1.2335386413508953,96,35,23.21469704016736,0.06000972810185163
1,6.321672711541893,6651,0.761648205955098,59,32,21.850192181392508,0.1893739282911482
2,9.704523378579555,9469,0.755308107915282,33,72,21.373258424180676,0.09305746174162648
9,7.490533384948522,3581,2.9423782533268423,49,36,25.157529094839006,0.6343546043996098
9,4.1722348425560325,12185,3.8084595956789604,77,29,26.257715710109224,0.5464972849256091
8,4.170913692999356,11283,2.738300169220215,41,34,27.340866121044364,0.5713421157901836
8,6.716195698912207,13467,2.396053712947295,62,72,30.946961295144817,0.5877723269776898
6,5.0065895904078985,4244,2.4428111483951107,21,49,24.3466559779252,0.5402152036744482
3,9.39118258220718,11839,2.986187260336042,20,44,27.797670290082806,0.267053602907154
3,9.834188452649101,11243,2.4993628089659765,31,49,25.78916920634544,0.19794177487012365
4,6.399181108078815,6680,2.6350059985445045,23,24,31.070499393085072,0.6189313963555985
1,7.361013237673378,9519,1.1013326068209497,89,51,22.18430713061827,0.09619575457756054
7,5.14887521011166,3407,2.5102515638166443,41,39,22.264910421201968,0.5177905265307208
3,5.779591865982598,1089,3.079097198301941,35,73,25.319737879535012,0.5243041323547882
3,7.912389890915659,9944,3.361347658152144,88,21,22.38362258945079,0.15232600077801653
6,4.628024565277511,13427,1.4162982906416857,50,41,25.869320694261795,0.3826356244552657
2,9.348237693665826,12505,0.959863369311172,44,23,33.579860510911935,0.42535317382474014
6,9.29439654316956,6101,1.5635858239126526,90,67,33.250796293265346,0.7144933656115379
7,7.916707628115551,3683,3.8354753968959243,94,32,32.09960533895465,0.8007431175809004
6,8.458176113644377,2143,2.0784141363920847,98,55,31.585563499037463,0.7699898244342996
5,6.422210585874373,14869,1.4450284621233966,41,47,32.70562627691623,0.5159958448500622
4,9.035790604471536,9821,2.686466635232497,80,53,32.98409496690084,0.5486726342359063
2,6.159628529065374,1790,3.381432839524657,84,76,34.875582016609926,0.8083326292575925
5,8.796341236427555,6598,2.3092207738961754,45,45,20.332795897925656,0.3308579795217962
9,8.945934557073794,8605,3.342952451203672,67,59,22.801675096330328,0.392365790598046
9,9.840123641083492,5285,3.7562768647617784,31,72,27.59905416374039,0.6248979837991085
4,4.698685572775992,11517,2.3213694789457673,48,48,34.05331883162283,0.6512602211174305
6,4.186348891994215,7249,1.1389443842312956,63,61,22.78679494098369,0.43087027453069426
6,9.431309668457331,11694,2.788947558333673,47,29,28.3950814661771,0.39999615246854
7,6.167402004121243,13400,0.8138218357266682,30,79,18.064476493341704,0.3847363860276255
8,7.88580911152047,4528,1.472001173122932,66,31,28.833296021203573,0.698913779988848
7,6.085761027433178,11123,0.9157292353388026,33,67,22.84059389388329,0.3295448617765698
2,5.133504194175186,1043,3.14693239073976,20,21,21.288606953133264,0.4102253974792416
9,5.41906374773763,10051,3.051136434085811,90,28,28.25985427400808,0.6405161661481625
9,4.381726882098812,3353,1.8638270418112834,38,46,25.339892116679145,0.721606044520392
5,7.181768556524136,5163,2.8509875215746114,94,69,32.80863624157856,0.735938890507151
3,9.679935792332174,6478,1.7609371787872357,73,35,33.70690273257951,0.6038475561809022
3,4.617482395202016,3304,2.6621019313043996,77,46,31.919295743391835,0.7380964115807854
7,5.302766119736853,8212,1.4191730945154735,92,54,23.953903776502123,0.4591758053380077
2,8.373022493251433,8353,3.344175176858235,83,25,27.74966152819976,0.33791486852158725
1,6.7101194028450495,12839,3.109042729535482,63,74,25.306596546454887,0.14487606669359648
7,5.6790755498534535,1807,3.1767515363641055,22,23,25.8557910308701,0.6738157473985009
1,5.409094607440589,2300,2.3497228206887675,49,48,18.65278560976799,0.43248664867558423
6,6.518611424143155,11246,2.2241337731760416,63,64,23.979058400191477,0.3211310244700214
2,5.029245367458103,2367,3.4651963877158187,37,71,23.16850070142214,0.39731828075883474
4,8.209829648793889,11084,3.2848606745017266,69,22,21.66858800492162,0.1519452336199635
6,7.09704953728002,10750,2.6536392120550207,40,67,34.215653668460924,0.6902208058790456
5,6.881516693576226,7905,2.1417631973626277,94,39,23.84573230941319,0.35201903304255777
2,7.49908864182043,5276,2.7456016435916717,66,63,19.656589745039845,0.309918747327592
8,8.262532768944997,13197,1.7837240192507147,95,34,21.92618230778149,0.23527084678418775
8,4.926538724172271,2408,3.6062643735134654,79,22,25.394282005500678,0.6969985279617537
2,4.374044949180965,7981,3.8600086881542075,97,52,33.42841432800558,0.6494062205183982
5,5.533100642482933,12715,2.6004655631264266,71,36,28.525350420394318,0.4380015154645365
9,6.474366245847962,13407,1.7921930941102113,52,45,24.90338729187123,0.41223438564998416
9,4.3064859692294535,1553,0.624993088393212,64,24,20.932734014826245,0.6845411212750315
7,6.842756626749729,1953,3.5537590518019595,51,20,25.14605460142877,0.6164363273982663
1,7.659440065954162,4672,1.016483379560027,32,49,32.011776909569,0.5623722785670898
2,8.938479253976237,11080,1.3869776672126781,75,47,28.654721622389168,0.2911549004955668
7,8.54586202375415,5676,3.573749528630614,70,75,21.306787686916895,0.3963866603795181
1,4.879188923989076,8600,3.077361051087132,52,63,30.82034416830765,0.49144452889456375
4,4.299946429731168,10881,2.7823384777062694,64,66,34.93688116939739,0.7082963951514576
7,7.15994416076748,5565,1.8458508978205046,35,53,31.609633865247766,0.7557877707467333
9,4.336857671513056,4503,2.228575710724609,61,29,26.231023239904008,0.727202303072327
5,5.584368566370563,2029,1.8582501695116314,54,64,27.235578995901434,0.6482564353135661
6,9.417879305082536,12524,1.263575335268477,42,29,23.689760072258224,0.20969167189212284
6,6.570779256485242,8829,3.8459508833095373,64,68,19.2692833443395,0.40552999486630265
7,5.612033767864949,2830,3.1016181669862104,69,74,31.367259606374517,0.8505067721994253
3,8.302224204237497,9268,1.052521895485103,87,34,32.288780646790855,0.5183090625173127
8,5.913866176482517,2799,2.0907472972339125,42,33,23.036783190773157,0.5782278596957919
6,6.956220417891307,14612,1.3982232177060872,38,65,19.016710388579302,0.26561303430980876
7,6.962187346351625,12678,3.8894881679928996,94,78,26.76703060508177,0.4131199589190508
6,5.550694301403734,12873,1.9508081169821887,62,23,21.604408691346485,0.24780142195505728
9,4.156034214523707,7985,2.8019435318596497,65,55,30.14164309489875,0.7891847561612395
4,9.41550969691567,6082,0.6504926244298961,96,25,34.76624266737457,0.6944602659161562
3,7.285868812367549,14392,1.9207209571250548,67,72,28.48707787961585,0.28122575368059055
8,7.255096239889262,4829,3.8128231157184596,42,27,19.4959358782295,0.5499449820568468
2,9.556061776756412,4470,0.7948049796471981,56,33,30.495624412181673,0.5027075103267564
1,5.640659214532988,1149,2.6973832516358276,31,72,29.052355351183664,0.5890200116631057
7,4.465587915808204,12711,2.606906176713828,87,40,21.400985785011958,0.32156499729118265
4,5.514227619841887,5092,0.6639867654866781,34,45,24.00567653073802,0.4225917071633329
4,7.354913109524122,10495,0.9258015554092547,92,77,34.11924427686604,0.6141556377437056
7,5.201662218648638,4267,3.394853331668293,33,38,30.773177058941236,0.8041604070203281
2,4.055853575094645,14786,0.7538339054699128,95,21,32.716776863698804,0.466842121264672
1,6.516386659870829,6327,1.1161233190899118,57,52,18.652132954550147,0.30842974853039606
3,9.715065652770049,6219,1.8614925488337053,86,60,19.81511865405017,0.2640794521681512
5,6.827724126499784,9845,0.5370713698909504,59,59,28.64175592214795,0.4802934393647218
5,9.432672023519796,5882,2.5116658886756067,31,26,23.855086106290553,0.33959417065926756
4,4.081741970078381,14780,2.211994742361342,86,29,34.50842182420642,0.6038106400776723
4,7.546847345533121,10747,2.0437909945154935,87,79,18.714066785505764,0.2832148077617752
8,8.118830423294575,1793,2.3178777367125845,86,52,29.821037535151245,0.7951853182989784
8,8.502506553416318,7501,1.6602920519927271,52,57,26.958472057822433,0.5441981021888715
7,6.128490868276447,2178,3.369889174588902,63,77,18.510140323093225,0.6407235429898114
2,6.282568211182372,7299,1.4455763417730247,73,74,30.007403531293896,0.4957513283756725
1,6.990568898529479,10516,2.847705334102882,30,57,29.73414313596973,0.3547393707749143
6,8.400046853072434,12749,2.803244356987446,77,46,19.243428984972045,0.2675245412704329
4,7.1109040911074395,1327,1.0352518287638155,91,58,24.769583433268032,0.5026856685880369
5,7.324415014302036,11770,1.5294016697858503,23,77,26.214116283252327,0.33376513944258973
8,4.2803194986926965,1004,3.3811756908641435,64,62,23.791652354355783,0.6884500413261968
5,5.763240419436127,2386,2.5397795762141455,39,58,24.625170943508106,0.5406773163080774
1,4.454286045415685,2810,2.428374392236076,34,71,20.52627776942249,0.3753212528935974
9,5.754446092228411,2534,2.1705095040779914,80,47,26.745830648864967,0.7591903244524664
5,8.189634314136134,14807,1.374445673133529,94,32,23.42789385704869,0.13845805561683533
7,8.877536482297417,8394,1.0407085165818692,21,75,24.60537127726228,0.3920018919166785
9,4.889456656613991,12583,1.4110563438241919,58,52,33.26929382270399,0.7737191573537618
5,5.812432384230152,13935,3.222434029429083,84,27,24.26928083131863,0.2474823254318909
4,8.608164506550427,9566,1.4462568852000004,93,78,29.50501319614085,0.4390510965560814
7,6.6114278146197085,8907,0.8764160202641346,21,78,24.028130263148412,0.41344401499895783
3,8.542731485652832,11006,1.7807553643467882,35,48,20.00422408271702,0.16986856308885456
8,7.505157762084032,10045,1.0102749146135315,55,58,20.3703340477096,0.38614913975323045
9,4.487805629380883,14587,1.7331466438599539,94,31,19.672376268235094,0.41085481776255905
2,4.26656759575766,2319,1.1305322583042925,82,79,30.824714253499636,0.6944517948992563
9,9.321591901713191,11351,1.5589397027036507,92,20,34.77948541628784,0.7511266668136659
5,7.13046811374623,11441,2.0449612533554546,39,73,21.37198758362671,0.21640502242004145
8,5.388531744611372,7647,3.591002799511829,37,64,25.62550673647264,0.5676045132549116
5,4.646321515071991,13960,3.584896497015234,32,56,33.51144013002162,0.6100928075471389
6,8.52414980953456,1879,3.0232208344203153,36,75,30.904712151584818,0.7500943045980644
5,4.081808832410936,10052,3.185555881332701,79,65,23.702565519550465,0.3626031667177707
4,5.216147761832943,14694,1.5066062424446396,70,35,21.241240494468208,0.15254223530268
7,7.504743061813273,7584,3.3102203978560034,96,43,33.27709016481835,0.7591079705897972
9,8.92843612781038,14413,1.8090114639342865,67,63,30.568639901210904,0.5339832374275886
9,4.013363757058639,2793,2.500702529483556,95,56,26.98409486727538,0.8036450494408254
5,8.700475301322074,4314,0.7041958344054939,47,47,19.649819873647385,0.41313050364257986
5,6.144064708479368,9022,1.3307875376508866,63,37,34.43918534277395,0.726864837584936
6,8.76811798877942,5970,3.6406343555038894,74,25,23.499518667599105,0.3768887916151884
4,6.699802624269659,10131,1.911256464239324,36,36,21.735989656795535,0.2090259208231544
7,9.408194630128637,6104,2.3034066493017313,59,55,20.884673680388637,0.38050502030399175
7,6.553294294251702,4244,3.7458695468963725,78,38,18.052126720665292,0.5971314754009004
9,5.045253052655462,5652,3.350323701721353,97,62,32.78153634626247,0.9197741954877507
2,7.439387537288412,12809,1.9790077227791405,92,39,23.045522050390197,0.08226221049154502
6,7.003675451642308,5610,1.691724821302832,91,30,30.97391068258217,0.6991809621947482
1,6.8607379505778106,7573,3.0294722453132477,91,74,18.634860256140502,0.27062183529723066
5,6.9898000988120295,8554,1.6445868704260898,81,27,28.606343242597603,0.5062924448195744
6,4.342647808684973,3237,1.204047108596417,42,60,27.556371837294538,0.6969508141163975
9,5.504907555862888,1205,3.479717069668826,43,78,23.64453728521501,0.6849153564246331
6,8.745339949769704,14743,1.5869436980171434,91,33,31.80370504526946,0.4664531747076918
9,4.546790173707551,6919,2.1575563994792564,95,64,31.295112889533897,0.8473172934133516
4,4.133658413121488,7008,1.769513739659039,58,28,22.10335172719578,0.3406916445622117
2,5.807863617871927,10393,2.2777940580534684,33,32,33.81268077429391,0.570394093101997
8,6.49529675309406,5142,3.3769754369336615,86,37,30.411275631171605,0.7748823794450963
2,4.086907041218716,9790,0.8543358137971777,84,60,18.2093081810786,0.3357558080606574
6,8.851280010455792,11638,2.7495112924974703,24,76,19.093519011545283,0.2889034592775385
7,9.408092071650247,7323,0.9491368337511438,90,38,23.32790787995593,0.3587540920887104
5,9.07499134155846,13007,0.5802495922443525,31,23,22.129141690117596,0.11348179210563408
1,5.736180939063051,8660,3.749927221057762,46,65,27.468851485533445,0.34779015471642677
4,8.649925299694607,3297,1.608835944594507,73,79,25.65559928156197,0.4500016182319081
1,8.366168734689886,10255,2.1299635298518216,54,44,20.375913932509036,0.10630996607597003
3,7.805153974127393,7372,2.263714307269124,29,57,23.567865425418525,0.2600045970322395
6,4.4801585300850535,6817,2.296974424510118,74,21,25.86321542062261,0.5457318156649278
9,4.8450987565624475,4049,2.5700881623092986,45,57,20.51103869456302,0.6264902426045598
3,6.9513014445969645,10650,1.3543349703474057,26,75,26.96468854032808,0.32455682554265547
7,6.642914157328201,7840,2.872870515251018,68,55,31.39140019452941,0.7053917801148021
9,4.389797008795814,11390,1.2866547003696562,63,22,19.797879880608278,0.48593579695348277
9,6.726131376275273,2349,2.6027122007619976,31,28,23.096853239473333,0.6079010953791854
2,7.418845435735591,12497,1.6269506892806416,94,73,30.02362978119526,0.34325890893257244
9,4.881989576334986,1476,1.3714577050049654,55,34,19.862880670263824,0.7112765298182042
2,7.331725563085932,10007,1.7896841707434057,27,56,18.526068355708055,0.24061123065097711
9,8.097737503076155,10855,3.347741512968561,63,44,34.517181509129216,0.7831817721107178
4,6.335108651240192,7985,2.9653914173458924,73,79,29.781646760119692,0.5422202718723462
3,7.0760786410441625,8017,2.7636894025699883,77,72,25.72527115927205,0.3402435618415261
9,5.84310977175658,4244,1.7701488317565583,27,36,26.70238458729215,0.7141470331249761
5,4.667950451362838,5992,1.3704596557066773,68,64,23.89172476645993,0.45341310966954484
3,7.1252057192244465,9251,2.7686006368863563,79,26,23.59060081458031,0.2318512547762072
3,8.81455446840112,10923,1.4194356505540633,63,38,27.662772051688364,0.29823584890745725
2,7.648341622080984,5039,2.6461307889238204,51,38,24.495851683017193,0.3175654151347786
5,8.458671864453873,13168,0.8931537023399837,28,26,31.875272655376232,0.47778798023148394
2,9.620154977622942,13969,2.6995441534991778,64,27,34.73379148426236,0.4252318354522957
4,5.231877569957683,6600,2.7796226074604764,44,62,30.2675405870489,0.6199673237918634
4,5.8829794059266955,3820,0.6696701636416634,47,41,26.84033861639292,0.5471785484033819
9,8.966043378579737,4377,2.294329397080026,36,20,22.177718572999254,0.47143923928191456
9,5.540314224420326,13216,1.5363542341429437,72,43,19.175692029882427,0.4365568770515307
7,6.596867693214793,14510,2.874801018415873,24,25,33.95090250484938,0.6380938666845153
2,8.069577146970605,6221,2.781609359990643,41,20,21.724827531846895,0.19831917191138074
4,5.332727176239286,1136,2.651905108998654,99,53,34.19800971378265,0.8920603206317136
5,5.922570005868469,1657,3.6454473937722685,79,27,34.886752979565166,0.9264324038567845
6,9.474119444607728,6355,3.64672447098448,84,42,28.030688133250788,0.5147798550765963
8,9.991748400968943,8263,1.6897836915214917,93,63,34.650625462639525,0.7686369703346605
